dataset,classifier,test_ds_score,revealed_pct,revealed_pct_actual,train_size,test_size,num_classes,type,num_dim,balanced,train_length
ECGFiveDays,TSF,0.5946573751,30,30,23,861,2,ECG,1,True,42
ECGFiveDays,ST,0.9988385598,100,100,23,861,2,ECG,1,True,136
ECGFiveDays,ST,0.5029036005,10,10,23,861,2,ECG,1,True,14
ECGFiveDays,ST,0.6120789779,20,20,23,861,2,ECG,1,True,28
ECGFiveDays,ST,0.6376306620000001,30,30,23,861,2,ECG,1,True,42
ECGFiveDays,PForest,0.5772357724,20,20,23,861,2,ECG,1,True,28
ECGFiveDays,PForest,0.5644599303,30,30,23,861,2,ECG,1,True,42
ECGFiveDays,PForest,0.524970964,10,10,23,861,2,ECG,1,True,14
ECGFiveDays,PForest,0.8513356562000001,100,100,23,861,2,ECG,1,True,136
ECGFiveDays,CBoss,1.0,100,100,23,861,2,ECG,1,True,136
ECGFiveDays,CBoss,0.5029036005,30,30,23,861,2,ECG,1,True,42
ECGFiveDays,CBoss,0.5807200929,10,10,23,861,2,ECG,1,True,14
ECGFiveDays,CBoss,0.5029036005,20,20,23,861,2,ECG,1,True,28
ECGFiveDays,WEASEL,0.5458768873000001,30,30,23,861,2,ECG,1,True,42
ECGFiveDays,WEASEL,0.537746806,10,10,23,861,2,ECG,1,True,14
ECGFiveDays,WEASEL,0.5331010453,20,20,23,861,2,ECG,1,True,28
ECGFiveDays,WEASEL,0.9988385598,100,100,23,861,2,ECG,1,True,136
FreezerRegularTrain,TSF,0.9694736842,10,10,150,2850,2,SENSOR,1,True,31
FreezerRegularTrain,TSF,0.9912280702,100,100,150,2850,2,SENSOR,1,True,301
FreezerRegularTrain,TSF,0.9985964912,30,30,150,2850,2,SENSOR,1,True,91
FreezerRegularTrain,TSF,0.9985964912,20,20,150,2850,2,SENSOR,1,True,61
FreezerRegularTrain,ST,0.9989473684000001,30,30,150,2850,2,SENSOR,1,True,91
FreezerRegularTrain,ST,0.5059649123000001,10,10,150,2850,2,SENSOR,1,True,31
FreezerRegularTrain,ST,0.9989473684000001,100,100,150,2850,2,SENSOR,1,True,301
FreezerRegularTrain,ST,0.9519298246000001,20,20,150,2850,2,SENSOR,1,True,61
FreezerRegularTrain,WEASEL,0.74,30,30,150,2850,2,SENSOR,1,True,91
FreezerRegularTrain,WEASEL,0.98,100,100,150,2850,2,SENSOR,1,True,301
FreezerRegularTrain,WEASEL,0.9385964912,20,20,150,2850,2,SENSOR,1,True,61
FreezerRegularTrain,WEASEL,0.5,10,10,150,2850,2,SENSOR,1,True,31
FreezerRegularTrain,CBoss,0.9764912281,20,20,150,2850,2,SENSOR,1,True,61
FreezerRegularTrain,CBoss,0.9989473684000001,30,30,150,2850,2,SENSOR,1,True,91
FreezerRegularTrain,CBoss,0.9964912281,100,100,150,2850,2,SENSOR,1,True,301
FreezerRegularTrain,CBoss,0.5,10,10,150,2850,2,SENSOR,1,True,31
FreezerRegularTrain,PForest,0.52,20,20,150,2850,2,SENSOR,1,True,61
FreezerRegularTrain,PForest,0.910877193,30,30,150,2850,2,SENSOR,1,True,91
FreezerRegularTrain,PForest,0.7080701754000001,10,10,150,2850,2,SENSOR,1,True,31
FreezerRegularTrain,PForest,0.9224561404,100,100,150,2850,2,SENSOR,1,True,301
FreezerSmallTrain,TSF,0.8407017544000001,100,100,28,2850,2,SENSOR,1,True,301
FreezerSmallTrain,TSF,0.8863157895,10,10,28,2850,2,SENSOR,1,True,31
FreezerSmallTrain,TSF,0.9982456140000001,30,30,28,2850,2,SENSOR,1,True,91
FreezerSmallTrain,TSF,0.9835087719000001,20,20,28,2850,2,SENSOR,1,True,61
FreezerSmallTrain,ST,0.4873684211,10,10,28,2850,2,SENSOR,1,True,31
FreezerSmallTrain,ST,0.9985964912,30,30,28,2850,2,SENSOR,1,True,91
FreezerSmallTrain,ST,0.9996491228000001,100,100,28,2850,2,SENSOR,1,True,301
FreezerSmallTrain,ST,0.9235087719,20,20,28,2850,2,SENSOR,1,True,61
FreezerSmallTrain,WEASEL,0.5,10,10,28,2850,2,SENSOR,1,True,31
FreezerSmallTrain,WEASEL,0.96,100,100,28,2850,2,SENSOR,1,True,301
FreezerSmallTrain,WEASEL,0.9066666667000001,20,20,28,2850,2,SENSOR,1,True,61
FreezerSmallTrain,WEASEL,0.6287719298000001,30,30,28,2850,2,SENSOR,1,True,91
FreezerSmallTrain,CBoss,0.5014035088000001,10,10,28,2850,2,SENSOR,1,True,31
FreezerSmallTrain,CBoss,0.9722807018,100,100,28,2850,2,SENSOR,1,True,301
FreezerSmallTrain,CBoss,0.9540350877,20,20,28,2850,2,SENSOR,1,True,61
FreezerSmallTrain,CBoss,0.9978947368000001,30,30,28,2850,2,SENSOR,1,True,91
FreezerSmallTrain,PForest,0.7091228070000001,100,100,28,2850,2,SENSOR,1,True,301
FreezerSmallTrain,PForest,0.6056140351,10,10,28,2850,2,SENSOR,1,True,31
FreezerSmallTrain,PForest,0.5421052632,20,20,28,2850,2,SENSOR,1,True,61
FreezerSmallTrain,PForest,0.7245614035,30,30,28,2850,2,SENSOR,1,True,91
Ham,TSF,0.7809523810000001,100,100,109,105,2,SPECTRO,1,True,431
Ham,TSF,0.7333333333000001,30,30,109,105,2,SPECTRO,1,True,130
Ham,TSF,0.5904761905,10,10,109,105,2,SPECTRO,1,True,44
Ham,TSF,0.7523809524,20,20,109,105,2,SPECTRO,1,True,87
Ham,ST,0.4857142857,10,10,109,105,2,SPECTRO,1,True,44
Ham,ST,0.7619047619,100,100,109,105,2,SPECTRO,1,True,431
Ham,ST,0.4857142857,20,20,109,105,2,SPECTRO,1,True,87
Ham,ST,0.5333333333,30,30,109,105,2,SPECTRO,1,True,130
Ham,WEASEL,0.4857142857,30,30,109,105,2,SPECTRO,1,True,130
Ham,WEASEL,0.6476190476,100,100,109,105,2,SPECTRO,1,True,431
Ham,WEASEL,0.5142857143,20,20,109,105,2,SPECTRO,1,True,87
Ham,WEASEL,0.5142857143,10,10,109,105,2,SPECTRO,1,True,44
Ham,CBoss,0.4857142857,10,10,109,105,2,SPECTRO,1,True,44
Ham,CBoss,0.6666666667000001,100,100,109,105,2,SPECTRO,1,True,431
Ham,CBoss,0.4952380952,20,20,109,105,2,SPECTRO,1,True,87
Ham,CBoss,0.4857142857,30,30,109,105,2,SPECTRO,1,True,130
Ham,PForest,0.4952380952,10,10,109,105,2,SPECTRO,1,True,44
Ham,PForest,0.4952380952,30,30,109,105,2,SPECTRO,1,True,130
Ham,PForest,0.5238095238,20,20,109,105,2,SPECTRO,1,True,87
Ham,PForest,0.7047619048,100,100,109,105,2,SPECTRO,1,True,431
InsectEPGRegularTrain,TSF,1.0,100,100,62,249,3,EPG,1,False,601
InsectEPGRegularTrain,TSF,1.0,10,10,62,249,3,EPG,1,False,61
InsectEPGRegularTrain,TSF,1.0,20,20,62,249,3,EPG,1,False,121
InsectEPGRegularTrain,TSF,1.0,30,30,62,249,3,EPG,1,False,181
InsectEPGRegularTrain,ST,0.3694779116,20,20,62,249,3,EPG,1,False,121
InsectEPGRegularTrain,ST,0.9879518072000001,100,100,62,249,3,EPG,1,False,601
InsectEPGRegularTrain,ST,0.3574297189,10,10,62,249,3,EPG,1,False,61
InsectEPGRegularTrain,ST,0.3734939759,30,30,62,249,3,EPG,1,False,181
InsectEPGRegularTrain,CBoss,0.9718875502000001,10,10,62,249,3,EPG,1,False,61
InsectEPGRegularTrain,CBoss,1.0,100,100,62,249,3,EPG,1,False,601
InsectEPGRegularTrain,CBoss,0.9518072289,20,20,62,249,3,EPG,1,False,121
InsectEPGRegularTrain,CBoss,1.0,30,30,62,249,3,EPG,1,False,181
InsectEPGRegularTrain,PForest,0.9959839357,20,20,62,249,3,EPG,1,False,121
InsectEPGRegularTrain,PForest,1.0,100,100,62,249,3,EPG,1,False,601
InsectEPGRegularTrain,PForest,1.0,30,30,62,249,3,EPG,1,False,181
InsectEPGRegularTrain,PForest,1.0,10,10,62,249,3,EPG,1,False,61
InsectEPGRegularTrain,WEASEL,1.0,20,20,62,249,3,EPG,1,False,121
InsectEPGRegularTrain,WEASEL,1.0,10,10,62,249,3,EPG,1,False,61
InsectEPGRegularTrain,WEASEL,1.0,100,100,62,249,3,EPG,1,False,601
InsectEPGRegularTrain,WEASEL,1.0,30,30,62,249,3,EPG,1,False,181
InsectEPGSmallTrain,TSF,1.0,10,10,17,249,3,EPG,1,False,61
InsectEPGSmallTrain,TSF,1.0,20,20,17,249,3,EPG,1,False,121
InsectEPGSmallTrain,TSF,1.0,100,100,17,249,3,EPG,1,False,601
InsectEPGSmallTrain,TSF,1.0,30,30,17,249,3,EPG,1,False,181
InsectEPGSmallTrain,ST,0.36546184740000004,20,20,17,249,3,EPG,1,False,121
InsectEPGSmallTrain,ST,0.9718875502000001,100,100,17,249,3,EPG,1,False,601
InsectEPGSmallTrain,ST,0.3574297189,10,10,17,249,3,EPG,1,False,61
InsectEPGSmallTrain,ST,0.3694779116,30,30,17,249,3,EPG,1,False,181
InsectEPGSmallTrain,PForest,0.9879518072000001,30,30,17,249,3,EPG,1,False,181
InsectEPGSmallTrain,PForest,0.9116465863000001,20,20,17,249,3,EPG,1,False,121
InsectEPGSmallTrain,PForest,1.0,100,100,17,249,3,EPG,1,False,601
InsectEPGSmallTrain,PForest,0.9959839357,10,10,17,249,3,EPG,1,False,61
InsectEPGSmallTrain,CBoss,0.9156626506000001,10,10,17,249,3,EPG,1,False,61
InsectEPGSmallTrain,CBoss,1.0,20,20,17,249,3,EPG,1,False,121
InsectEPGSmallTrain,CBoss,0.9558232932,30,30,17,249,3,EPG,1,False,181
InsectEPGSmallTrain,CBoss,1.0,100,100,17,249,3,EPG,1,False,601
InsectEPGSmallTrain,WEASEL,1.0,100,100,17,249,3,EPG,1,False,601
InsectEPGSmallTrain,WEASEL,1.0,30,30,17,249,3,EPG,1,False,181
InsectEPGSmallTrain,WEASEL,1.0,20,20,17,249,3,EPG,1,False,121
InsectEPGSmallTrain,WEASEL,1.0,10,10,17,249,3,EPG,1,False,61
ItalyPowerDemand,TSF,0.9620991254000001,100,100,67,1029,2,SENSOR,1,True,24
ItalyPowerDemand,TSF,0.6783284742,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,TSF,0.703595724,20,25,67,1029,2,SENSOR,1,True,6
ItalyPowerDemand,TSF,0.7803692906,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,ST,0.703595724,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,ST,0.9552964043000001,100,100,67,1029,2,SENSOR,1,True,24
ItalyPowerDemand,ST,0.47521865890000003,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,ST,0.5034013605000001,20,25,67,1029,2,SENSOR,1,True,6
ItalyPowerDemand,CBoss,0.4878522838,20,25,67,1029,2,SENSOR,1,True,6
ItalyPowerDemand,CBoss,0.8095238095,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,CBoss,0.8882410107,100,100,67,1029,2,SENSOR,1,True,24
ItalyPowerDemand,WEASEL,0.5014577259,20,25,67,1029,2,SENSOR,1,True,6
ItalyPowerDemand,WEASEL,0.5014577259,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,WEASEL,0.9280855199,100,100,67,1029,2,SENSOR,1,True,24
ItalyPowerDemand,WEASEL,0.5335276968,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,CBoss,0.5014577259,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,PForest,0.5422740525,10,12,67,1029,2,SENSOR,1,True,3
ItalyPowerDemand,PForest,0.9591836735,100,100,67,1029,2,SENSOR,1,True,24
ItalyPowerDemand,PForest,0.5655976676000001,30,37,67,1029,2,SENSOR,1,True,9
ItalyPowerDemand,PForest,0.6987366375,20,25,67,1029,2,SENSOR,1,True,6
Libras,PForest,0.0722222222,10,11,180,180,15,HAR,2,True,5
Libras,PForest,0.0666666667,100,100,180,180,15,HAR,2,True,45
Libras,PForest,0.0833333333,30,33,180,180,15,HAR,2,True,15
Libras,PForest,0.044444444400000005,20,22,180,180,15,HAR,2,True,10
Libras,TSF,0.3833333333,10,11,180,180,15,HAR,2,True,5
Libras,TSF,0.5833333333,20,22,180,180,15,HAR,2,True,10
Libras,TSF,0.8055555556,100,100,180,180,15,HAR,2,True,45
Libras,TSF,0.6888888889,30,33,180,180,15,HAR,2,True,15
Libras,CBoss,0.27222222220000003,30,33,180,180,15,HAR,2,True,15
Libras,CBoss,0.8277777778000001,100,100,180,180,15,HAR,2,True,45
Libras,CBoss,0.0888888889,20,22,180,180,15,HAR,2,True,10
Libras,CBoss,0.05,10,11,180,180,15,HAR,2,True,5
Libras,WEASEL,0.2388888889,20,22,180,180,15,HAR,2,True,10
Libras,WEASEL,0.8666666667,100,100,180,180,15,HAR,2,True,45
Libras,WEASEL,0.1333333333,10,11,180,180,15,HAR,2,True,5
Libras,WEASEL,0.4388888889,30,33,180,180,15,HAR,2,True,15
Libras,ST,0.2388888889,30,33,180,180,15,HAR,2,True,15
Libras,ST,0.1277777778,20,22,180,180,15,HAR,2,True,10
